JAIME,"At her until she kicked me out. She thinks I was an idiot to trust you. A lot of people seem to think that, actually.","['kick', 'think', 'idiot', 'trust', 'lot', 'peopl', 'seem', 'think', 'actual']"
TYRION,"I'm about to step into a room with the most murderous woman in the world who's already tried to kill me twice, that I know of. Who's an idiot?","['im', 'step', 'room', 'murder', 'woman', 'world', 'who', 'alreadi', 'tri', 'kill', 'twice', 'know', 'who', 'idiot']"
JAIME,"I suppose we should say goodbye, one idiot to another.","['suppos', 'say', 'goodby', 'one', 'idiot', 'anoth']"
CERSEI,"I shouldn't be surprised, I suppose. She's your kind of woman a foreign whore who doesn't know her place.","['shouldnt', 'surpris', 'suppos', 'she', 'kind', 'woman', 'foreign', 'whore', 'doesnt', 'know', 'place']"
TYRION,"A foreign whore you can't abduct, beat, or intimidate. That must be difficult for you.","['foreign', 'whore', 'cant', 'abduct', 'beat', 'intimid', 'must', 'difficult']"
CERSEI,"So you bring her here with her pet Northerner, whom you've convinced to bow down before her.","['bring', 'pet', 'northern', 'youv', 'convinc', 'bow']"
TYRION,I didn't know about that.,"['didnt', 'know']"
CERSEI,"And now you've got them both working towards the same goal, the goal you've worked towards your entire life","['youv', 'got', 'work', 'toward', 'goal', 'goal', 'youv', 'work', 'toward', 'entir', 'life']"
TYRION,"Cersei, I didn't know.","['cersei', 'didnt', 'know']"
CERSEI,the destruction of this family.,"['destruct', 'famili']"
TYRION,I am the one preventing that from happening. Daenerys didn't want to debate and negotiate. She didn't want to bring you words. She wanted to bring you fire and blood until I advised her otherwise. I don't want to destroy our family. I never have.,"['one', 'prevent', 'happen', 'daeneri', 'didnt', 'want', 'debat', 'negoti', 'didnt', 'want', 'bring', 'word', 'want', 'bring', 'fire', 'blood', 'advis', 'otherwis', 'dont', 'want', 'destroy', 'famili', 'never']"
CERSEI,You killed our father.,"['kill', 'father']"
TYRION,"After he sentenced me to death for a crime I didn't commit, yes, I killed him. Hate me for it if you want. I hate myself for it in spite of what he was, in spite of what he did to me.","['sentenc', 'death', 'crime', 'didnt', 'commit', 'ye', 'kill', 'hate', 'want', 'hate', 'spite', 'spite']"
CERSEI,"Oh, poor little man. Your papa was mean to you. Do you have any idea what you did when you fired that crossbow? You left us open. You laid us bare for the vultures, and the vultures came and tore us apart. You may not have killed Joffrey, but you killed Myrcella, you killed Tommen. No one would've touched them if Father was here. No one would have dared","['oh', 'poor', 'littl', 'man', 'papa', 'mean', 'idea', 'fire', 'crossbow', 'left', 'us', 'open', 'laid', 'us', 'bare', 'vultur', 'vultur', 'came', 'tore', 'us', 'apart', 'may', 'kill', 'joffrey', 'kill', 'myrcella', 'kill', 'tommen', 'one', 'wouldv', 'touch', 'father', 'one', 'would', 'dare']"
TYRION,I have never been more sorry about anything.,"['never', 'sorri', 'anyth']"
CERSEI,"I will not hear it, not from you. I will not hear it!","['hear', 'hear']"
TYRION,"All right. You love your family, and I have destroyed it. I will always be a threat. So put an end to me. If it weren't for me, you'd have a mother. If it weren't for me, you'd have a father. If it weren't for me, you'd have two beautiful children. I've thought about killing you more times than I can count. Do it! Say the word.","['right', 'love', 'famili', 'destroy', 'alway', 'threat', 'put', 'end', 'werent', 'youd', 'mother', 'werent', 'youd', 'father', 'werent', 'youd', 'two', 'beauti', 'children', 'ive', 'thought', 'kill', 'time', 'count', 'say', 'word']"
SOUND EFFECT,(SIGHS) (PANTS),"['sigh', 'pant']"
TYRION,I am more sorry about the children than you could ever know.,"['sorri', 'children', 'could', 'ever', 'know']"
CERSEI,I will not,[]
TYRION,I don't care. I loved them. You know I did. You know it in your heart if there's anything left of it.,"['dont', 'care', 'love', 'know', 'know', 'heart', 'there', 'anyth', 'left']"
CERSEI,It doesn't matter. Your love doesn't matter. Your feelings don't matter. I don't care why you did what you did. I only care what it cost us. It cost us our future.,"['doesnt', 'matter', 'love', 'doesnt', 'matter', 'feel', 'dont', 'matter', 'dont', 'care', 'care', 'cost', 'us', 'cost', 'us', 'futur']"
TYRION,"If there's no future, then why are we here? Why did you allow me to come?","['there', 'futur', 'allow', 'come']"
CERSEI,Not to help my enemies collaborate in my destruction.,"['help', 'enemi', 'collabor', 'destruct']"
TYRION,"Yes, no, not what you hoped for, but you must have hoped for something.","['ye', 'hope', 'must', 'hope', 'someth']"
CERSEI,What did you hope for? - To make Jon Snow submit to your queen?,"['hope', 'make', 'jon', 'snow', 'submit', 'queen']"
TYRION,"Mm, not like this.","['mm', 'like']"
CERSEI,"But eventually, you want everyone to bend the knee to her.","['eventu', 'want', 'everyon', 'bend', 'knee']"
TYRION,Yes.,['ye']
CERSEI,Why?,[]
TYRION,Because I think she will make the world a better place.,"['think', 'make', 'world', 'better', 'place']"
CERSEI,You said she'd destroy King's Landing.,"['said', 'shed', 'destroy', 'king', 'land']"
TYRION,She knows herself. She chose an advisor who would check her worst impulses instead of feeding them. That's the difference between you.,"['know', 'chose', 'advisor', 'would', 'check', 'worst', 'impuls', 'instead', 'feed', 'that', 'differ']"
CERSEI,"I don't care about checking my worst impulses. I don't care about making the world a better place. Hang the world. That thing you dragged here, I know what it is, I know what it means. And when it came at me, I didn't think about the world. Not at all. As soon as it opened its mouth, the world disappeared for me, right down its black throat. All I could think about was keeping those gnashing teeth away from the ones who matter most, away from my family. Maybe Euron Greyjoy had the right idea. Get on a boat, take those who matter","['dont', 'care', 'check', 'worst', 'impuls', 'dont', 'care', 'make', 'world', 'better', 'place', 'hang', 'world', 'thing', 'drag', 'know', 'know', 'mean', 'came', 'didnt', 'think', 'world', 'soon', 'open', 'mouth', 'world', 'disappear', 'right', 'black', 'throat', 'could', 'think', 'keep', 'gnash', 'teeth', 'away', 'one', 'matter', 'away', 'famili', 'mayb', 'euron', 'greyjoy', 'right', 'idea', 'get', 'boat', 'take', 'matter']"
TYRION,You're pregnant.,"['your', 'pregnant']"
SOUND EFFECT,(SIGHS),['sigh']
JON,No one is less happy about this than I am.,"['one', 'less', 'happi']"
DAENERYS,"I know. I respect what you did. Wish you hadn't done it, but I respect it. This place was the beginning of the end for my family.","['know', 'respect', 'wish', 'hadnt', 'done', 'respect', 'place', 'begin', 'end', 'famili']"
SOUND EFFECT,(SPEAKING VALYRIAN),"['speak', 'valyrian']"
DAENERYS,"A dragon is not a slave. They were terrifying. Extraordinary. They filled people with wonder and awe, and we locked them in here. They wasted away. They grew small. And we grew small as well. We weren't extraordinary without them. We were just like everyone else.","['dragon', 'slave', 'terrifi', 'extraordinari', 'fill', 'peopl', 'wonder', 'awe', 'lock', 'wast', 'away', 'grew', 'small', 'grew', 'small', 'well', 'werent', 'extraordinari', 'without', 'like', 'everyon', 'els']"
JON,You're not like everyone else. And your family hasn't seen its end. You're still here.,"['your', 'like', 'everyon', 'els', 'famili', 'hasnt', 'seen', 'end', 'your', 'still']"
DAENERYS,I can't have children.,"['cant', 'children']"
JON,Who told you that?,['told']
DAENERYS,The witch who murdered my husband.,"['witch', 'murder', 'husband']"
JON,Has it occurred to you she might not have been a reliable source of information?,"['occur', 'might', 'reliabl', 'sourc', 'inform']"
DAENERYS,"You were right from the beginning. If I had trusted you, everything would be different.","['right', 'begin', 'trust', 'everyth', 'would', 'differ']"
JON,"So, what now?",[]
DAENERYS,I can't forget what I saw north of the Wall. And I can't pretend that Cersei won't take back half the country the moment I march north.,"['cant', 'forget', 'saw', 'north', 'wall', 'cant', 'pretend', 'cersei', 'wont', 'take', 'back', 'half', 'countri', 'moment', 'march', 'north']"
JON,It appears Tyrion's assessment was correct. We're fucked.,"['appear', 'tyrion', 'assess', 'correct', 'fuck']"
SOUND EFFECT,(FOOTSTEPS APPROACHING) (FOOTSTEPS APPROACHING),"['footstep', 'approach', 'footstep', 'approach']"
CERSEI,"My armies will not stand down. I will not pull them back to the capital. I will march them north to fight alongside you in the Great War. The darkness is coming for us all. We'll face it together. And when the Great War is over, perhaps you'll remember I chose to help with no promises or assurances from any of you. I expect not. Call our banners. All of them.","['armi', 'stand', 'pull', 'back', 'capit', 'march', 'north', 'fight', 'alongsid', 'great', 'war', 'dark', 'come', 'us', 'well', 'face', 'togeth', 'great', 'war', 'perhap', 'youll', 'rememb', 'chose', 'help', 'promis', 'assur', 'expect', 'call', 'banner']"
SOUND EFFECT,#NAME?,"['wind', 'howl', 'caw']"
LITTLEFINGER,It's not easy for ravens to fly in these storms. Perhaps Jon tried to send word earlier.,"['easi', 'raven', 'fli', 'storm', 'perhap', 'jon', 'tri', 'send', 'word', 'earlier']"
SANSA,"No, this is the way he is, the way he's always been. He never asked for my opinion. Why would he start now?","['way', 'way', 'he', 'alway', 'never', 'ask', 'opinion', 'would', 'start']"
LITTLEFINGER,I can't believe he'd surrender the Northern crown without consulting you.,"['cant', 'believ', 'hed', 'surrend', 'northern', 'crown', 'without', 'consult']"
SANSA,"This is his writing, his signature. He pledged to fight for Daenerys Targaryen. He's bent the knee.","['write', 'signatur', 'pledg', 'fight', 'daeneri', 'targaryen', 'he', 'bent', 'knee']"
LITTLEFINGER,I've heard gossip that the Dragon Queen is quite beautiful.,"['ive', 'heard', 'gossip', 'dragon', 'queen', 'quit', 'beauti']"
SANSA,What does that have to do with anything?,['anyth']
LITTLEFINGER,Jon is young and unmarried. Daenerys is young and unmarried.,"['jon', 'young', 'unmarri', 'daeneri', 'young', 'unmarri']"
SANSA,You think he wants to marry her?,"['think', 'want', 'marri']"
LITTLEFINGER,"An alliance makes sense. Together, they'd be difficult to defeat. He was named King in the North. He can be unnamed.","['allianc', 'make', 'sens', 'togeth', 'theyd', 'difficult', 'defeat', 'name', 'king', 'north', 'unnam']"
SANSA,"Even if I wanted to, Arya would never go along. She always loved Jon far more than she ever loved me, and she'd kill anyone who betrayed her family.","['even', 'want', 'arya', 'would', 'never', 'go', 'along', 'alway', 'love', 'jon', 'far', 'ever', 'love', 'shed', 'kill', 'anyon', 'betray', 'famili']"
